X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,YEAR,COLLECTTIMEOFDAY,GENUS,SPECIES,TOTAL
-76.990328005,38.913193004,518,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,04/19/16,Morning,04/21/16,2016,Morning,Culex,pipiens,5
-76.990328005,38.913193004,799,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,04/26/16,Morning,04/28/16,2016,Morning,Culex,pipiens,4
-76.990328005,38.913193004,1575,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,05/03/16,Morning,05/05/16,2016,Morning,Culex,pipiens,38
-76.990328005,38.913193004,505,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,05/10/16,Morning,05/12/16,2016,Morning,Culex,pipiens,9
-76.990328005,38.913193004,1091,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,05/24/16,Morning,05/26/16,2016,Morning,Culex,pipiens,29
-76.990328005,38.913193004,1539,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,05/31/16,Morning,06/02/16,2016,Morning,Culex,pipiens,22
-76.990328005,38.913193004,1722,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,06/07/16,Morning,06/09/16,2016,Morning,Culex,pipiens,121
-76.990328005,38.913193004,1830,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,06/14/16,Morning,06/16/16,2016,Morning,Culex,pipiens,57
-76.990328005,38.913193004,1967,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,06/21/16,Morning,06/23/16,2016,Morning,Culex,pipiens,9
-76.990328005,38.913193004,2005,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,06/28/16,Morning,06/30/16,2016,Morning,Culex,pipiens,25
-76.990328005,38.913193004,1562,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,07/12/16,Morning,07/14/16,2016,Morning,Culex,pipiens,29
-76.990328005,38.913193004,1668,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,07/19/16,Morning,07/21/16,2016,Morning,Culex,pipiens,13
-76.990328005,38.913193004,1125,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,07/26/16,Morning,07/28/16,2016,Morning,Culex,pipiens,117
-76.990328005,38.913193004,1126,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,07/26/16,Morning,07/28/16,2016,Morning,Aedes,sp.,6
-76.990328005,38.913193004,1512,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/02/16,Morning,08/04/16,2016,Morning,Aedes,albopictus,4
-76.990328005,38.913193004,1513,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/02/16,Morning,08/04/16,2016,Morning,Aedes,sp.,5
-76.990328005,38.913193004,1514,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/02/16,Morning,08/04/16,2016,Morning,Culex,pipiens,15
-76.990328005,38.913193004,1711,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/09/16,Morning,08/11/16,2016,Morning,Culex,pipiens,30
-76.990328005,38.913193004,1712,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/09/16,Morning,08/11/16,2016,Morning,Aedes,albopictus,3
-76.990328005,38.913193004,1848,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/16/16,Morning,08/18/16,2016,Morning,Aedes,albopictus,2
-76.990328005,38.913193004,1849,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,08/16/16,Morning,08/18/16,2016,Morning,Aedes,sp.,9
-76.990328005,38.913193004,1345,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,09/13/16,Morning,09/15/16,2016,Morning,Culex,pipiens,16
-76.990328005,38.913193004,823,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/04/16,Morning,10/06/16,2016,Morning,Culex,pipiens,35
-76.990328005,38.913193004,1015,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/11/16,Morning,10/13/16,2016,Morning,Culex,pipiens,36
-76.990328005,38.913193004,1225,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/18/16,Morning,10/20/16,2016,Morning,Culex,pipiens,60
-76.990328005,38.913193004,1226,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/18/16,Morning,10/20/16,2016,Morning,Aedes,aegypti,6
-76.990328005,38.913193004,1227,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/18/16,Morning,10/20/16,2016,Morning,Aedes,sp.,10
-76.990328005,38.913193004,1406,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/25/16,Morning,10/27/16,2016,Morning,Aedes,aegypti,3
-76.990328005,38.913193004,1407,Gravid Trap,Hay or grass infusion,5B,38.913193,-76.990328,1201 New York Ave. NE,Washington,DC,District of Columbia,Animal Shelter,10/25/16,Morning,10/27/16,2016,Morning,Culex,pipiens,7
